Major,Grade,Result,MajorGroup
ddt,2.75,Fail,Non-IT
ddt,3.6,Fail,Non-IT
ddt,3.96,Fail,Non-IT
ddt,5.21,Pass,Non-IT
ddt,3.96,Fail,Non-IT
ddt,3.06,Fail,Non-IT
ddt,4.08,Fail,Non-IT
ddt,4.19,Fail,Non-IT
ddt,7.33,Pass,Non-IT
ddt,5.13,Pass,Non-IT
ddt,5.88,Pass,Non-IT
ddt,2.63,Fail,Non-IT
ddt,4.5,Fail,Non-IT
ddt,3.92,Fail,Non-IT
ddt,7.23,Pass,Non-IT
ddt,6.77,Pass,Non-IT
ddt,4.88,Fail,Non-IT
ddt,5.13,Pass,Non-IT
ddt,7.56,Pass,Non-IT
ddt,5.15,Pass,Non-IT
ddt,3.96,Fail,Non-IT
ddt,4.04,Fail,Non-IT
ktck,4.35,Fail,Non-IT
ddt,3.29,Fail,Non-IT
cnnl,4.38,Fail,Non-IT
